button_pressed,high_stakes,initial_points,multiplier,points,responses,rt,states,stimulus,time_elapsed,times,trial_type,pid
0,,,,,,56176.0,,"<h1 id=""instructions"">Instructions</h1>

<p>Thanks for accepting our HIT! In this HIT, you will solve block
puzzles. There are 35 puzzles for you to solve.</p>

<p>On each round, you will see two sets of blocks. There are three places where you
can build a column of blocks. Your task is to stack the blocks in the left box
to match the blocks in the right box. The blocks
in the right box will always be in alphabetical order in the middle column.
You can only move the top block in each column.</p>

<p>Here's an example with 3 blocks:</p>

<p><img width=""355"" src=""static/images/blockworld.gif"" /></p>",56180,,html-button-response,20
0,,,,,,18111.0,,"<h1 id=""points"">Points</h1>

<p>You will begin each round with some number of points. It costs 1 point to move a block.
If you lose all your points, they won't go below 0, but you still have to finish the round.</p>

<p>When a round is <span class=""Blockworld-highStakes"">High Stakes!</span>, every block
will cost 3 points to move, but you will also start with more points.</p>

<p>At the end of the HIT, we will convert the final points from each round into a bonus payment.
You will earn $0.01 for each point.</p>

<p>Here's an example:</p>

<p><img width=""355"" src=""static/images/points.gif"" /></p>",74295,,html-button-response,20
0,,,,,,4410.0,,"<h1 id=""totalpoints"">Total Points</h1>

<p>You got 266 points in this HIT. Your bonus for this HIT is <b>$2.66</b>!</p>",1482687,,html-button-response,20
0,,,,,,415909.0,,"<h1 id=""instructions"">Instructions</h1>

<p>Thanks for accepting our HIT! In this HIT, you will solve block
puzzles. There are 19 puzzles for you to solve.</p>

<p>On each round, you will see two sets of blocks. There are three places where you
can build a column of blocks. Your task is to stack the blocks in the left box
to match the blocks in the right box. The blocks
in the right box will always be in alphabetical order in the middle column.
You can only move the top block in each column.</p>

<p>Here's an example with 3 blocks:</p>

<p><img width=""355"" src=""static/images/blockworld.gif"" /></p>",415913,,html-button-response,7
0,,,,,,21896.0,,"<h1 id=""instructions"">Instructions</h1>

<p>Thanks for accepting our HIT! In this HIT, you will solve block
puzzles. There are 35 puzzles for you to solve.</p>

<p>On each round, you will see two sets of blocks. There are three places where you
can build a column of blocks. Your task is to stack the blocks in the left box
to match the blocks in the right box. The blocks
in the right box will always be in alphabetical order in the middle column.
You can only move the top block in each column.</p>

<p>Here's an example with 3 blocks:</p>

<p><img width=""355"" src=""static/images/blockworld.gif"" /></p>",21899,,html-button-response,36
0,,,,,,18334.0,,"<h1 id=""points"">Points</h1>

<p>You will begin each round with some number of points. It costs 1 point to move a block.
If you lose all your points, they won't go below 0, but you still have to finish the round.</p>

<p>When a round is <span class=""Blockworld-highStakes"">High Stakes!</span>, every block
will cost 3 points to move, but you will also start with more points.</p>

<p>At the end of the HIT, we will convert the final points from each round into a bonus payment.
You will earn $0.01 for each point.</p>

<p>Here's an example:</p>

<p><img width=""355"" src=""static/images/points.gif"" /></p>",40236,,html-button-response,36
0,,,,,,5825.0,,"<h1 id=""totalpoints"">Total Points</h1>

<p>You got 367 points in this HIT. Your bonus for this HIT is <b>$3.67</b>!</p>",1258519,,html-button-response,36
0,,,,,,38438.0,,"<h1 id=""instructions"">Instructions</h1>

<p>Thanks for accepting our HIT! In this HIT, you will solve block
puzzles. There are 35 puzzles for you to solve.</p>

<p>On each round, you will see two sets of blocks. There are three places where you
can build a column of blocks. Your task is to stack the blocks in the left box
to match the blocks in the right box. The blocks
in the right box will always be in alphabetical order in the middle column.
You can only move the top block in each column.</p>

<p>Here's an example with 3 blocks:</p>

<p><img width=""355"" src=""static/images/blockworld.gif"" /></p>",38443,,html-button-response,32
0,,,,,,17631.0,,"<h1 id=""points"">Points</h1>

<p>You will begin each round with some number of points. It costs 1 point to move a block.
If you lose all your points, they won't go below 0, but you still have to finish the round.</p>

<p>When a round is <span class=""Blockworld-highStakes"">High Stakes!</span>, every block
will cost 3 points to move, but you will also start with more points.</p>

<p>At the end of the HIT, we will convert the final points from each round into a bonus payment.
You will earn $0.01 for each point.</p>

<p>Here's an example:</p>

<p><img width=""355"" src=""static/images/points.gif"" /></p>",56078,,html-button-response,32
0,,,,,,5449.0,,"<h1 id=""totalpoints"">Total Points</h1>

<p>You got 344 points in this HIT. Your bonus for this HIT is <b>$3.44</b>!</p>",1206881,,html-button-response,32
